style,embedding_type,search_method,llm_name,question,true_answer,chatbot_answer,cosine_similarity,correctness_score,faithfulness_score,retriever_scores,precision,recall,f1,
neutral,emb1,exact,gemini-1.5-flash,Where Psychodiagnostic diagnosis is provided?,At Maccabi Mental Health Clinics. ,At Maccabi Mental Health Clinics.,1,0.666666667,0.690965579,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb1,exact,gemini-1.5-flash,How much Examination and treatment for vision focus cost?,"The price varies depending on the medical institution that performs the tests and treatments
 At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi - 72₪ deductible for evaluation tests, 55₪ deductible for each orthopedic treatment.
In a public hospital - Pledge with deduction of 72₪ deductible for evaluation tests and pledge with deduction of 55₪ deductible for each orthopedic treatment.
In remote areas for patients who do not have an agreement with Maccabi - 50% reimbursement of the rate of the Ministry of Health and offset of a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment.",The cost of vision focus examination and treatment varies depending on the medical institution.,0.766095099,0.255365033,0.727956511,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb1,exact,gemini-1.5-flash,Does doctor's referral is necessary to do a test in order toidentify my blood type?,A doctor's referral is necessary.,A doctor's referral is necessary.,1,0.666666667,0.628516111,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb1,exact,gemini-1.5-flash,Who is eligible to transportation for treatments and examinations for dialysis patients up to 18 years of age?,"Children and youth members of the Maccabi are dialysis patients who are not yet 18 years old, traveling for treatment in a hospital, at a dedicated dialysis institute for children. Eligibility for dialysis patients under the age of 18",Children and youth members of the Maccabi who are dialysis patients and not yet 18 years old are eligible for transportation to treatments and examinations.,0.907310191,0.524658953,0.829522155,"{'precision': 0.8, 'recall': 1.0, 'f1': 0.88889}",0.8,1,0.88889,
neutral,emb1,exact,gemini-1.5-flash,"Where can I vaccinate my baby for ""Pent-up""?","At milk drop stations of Maccabi
If your village does not have a Maccabi milk drop station, you can locate a nearby milk drop station on the website of the Ministry of Health. ","You can vaccinate your baby for ""Pent-up"" at Maccabi milk drop stations.",0.812319794,0.437439931,0.830829268,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb1,exact,gemini-1.5-flash,Is there aclinic for treatment of eating disorders in Holon?,There is no clinic for treatment of eating disorders in Holon,I can't answer that. The information provided doesn't include clinics in Holon.,0.829653443,0.609884481,0.749265869,"{'precision': 1.0, 'recall': 0.15625, 'f1': 0.27027}",1,0.15625,0.27027,
neutral,emb1,exact,gemini-1.5-flash,What is the quarterly cost to visit a specialist?,Visit to a specialist - 36₪ quarterly deductible,The price varies depending on the medical institution that performs the tests and treatments.,0.81799472,0.272664907,0.709957156,"{'precision': 0.0, 'recall': 0.0, 'f1': 0}",0,0,0,
neutral,emb1,exact,gemini-1.5-flash,What is a “home visit”?,"Maccabi members are entitled to video medical advice -- a “home visit” by doctors and therapists via video, without having to go to the clinic.",A home visit is a medical consultation that takes place at your home instead of at a clinic.,0.759764071,0.25325469,0.720776067,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb1,exact,gemini-1.5-flash,Can I come to a health institutions with a service animal?," In accordance with the Law on the Rights of Persons with Disabilities, there is an obligation on service providers in health institutions to allow a person with a disability to receive service while assisting a service animal. A service animal is any animal whose owner carries a certificate or marking attesting to being a “service animal”.","You can bring a service animal to most health institutions, except for certain areas like surgical rooms, dialysis rooms, and oncology clinics.",0.856380321,0.61879344,0.764080841,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb1,exact,gemini-1.5-flash,"I want to do clinical mammography, but I don't have any medical need. Where can I do it?","My Maccabi, gold and silver companies interested in examination without medical need - in Asuta salons only.","Maccabi Shelli, Gold, and Silver members can get a clinical mammogram without a medical need at Asuta salons.",0.8402301,0.446743367,0.809785203,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb1,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Where Psychodiagnostic diagnosis is provided?,At Maccabi Mental Health Clinics. ,The psychodiagnostic diagnosis is provided at Maccabi Mental Health Clinics.,0.880059359,0.626686453,0.798924128,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb1,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,How much Examination and treatment for vision focus cost?,"The price varies depending on the medical institution that performs the tests and treatments
 At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi - 72₪ deductible for evaluation tests, 55₪ deductible for each orthopedic treatment.
In a public hospital - Pledge with deduction of 72₪ deductible for evaluation tests and pledge with deduction of 55₪ deductible for each orthopedic treatment.
In remote areas for patients who do not have an agreement with Maccabi - 50% reimbursement of the rate of the Ministry of Health and offset of a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment.","The cost for examination and treatment for vision focus (orthopedics) varies depending on the medical institution that performs the tests and treatments. 

At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi, the cost is 72₪ deductible for evaluation tests and 55₪ deductible for each orthopedic treatment. 

In a public hospital, the cost is a pledge with a deduction of 72₪ deductible for evaluation tests and a pledge with a deduction of 55₪ deductible for each orthopedic treatment. 

In remote areas for patients who do not have an agreement with Maccabi, the cost is 50% reimbursement of the rate of the Ministry of Health and an offset of a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment.",0.927926249,0.55930875,0.866929695,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb1,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Does doctor's referral is necessary to do a test in order toidentify my blood type?,A doctor's referral is necessary.,A doctor's referral is necessary to identify one's blood type.,0.816075665,0.605358555,0.71568834,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb1,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Who is eligible to transportation for treatments and examinations for dialysis patients up to 18 years of age?,"Children and youth members of the Maccabi are dialysis patients who are not yet 18 years old, traveling for treatment in a hospital, at a dedicated dialysis institute for children. Eligibility for dialysis patients under the age of 18",Children and youth members of the Maccabi who are dialysis patients and are not yet 18 years old are eligible for transportation for treatments and examinations.,0.910109855,0.525592174,0.831604622,"{'precision': 0.8, 'recall': 1.0, 'f1': 0.88889}",0.8,1,0.88889,
neutral,emb1,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"Where can I vaccinate my baby for ""Pent-up""?","At milk drop stations of Maccabi
If your village does not have a Maccabi milk drop station, you can locate a nearby milk drop station on the website of the Ministry of Health. ","The recommended vaccination schedule for a baby is 4 doses of the pentavalent vaccine, administered at the following ages: 

1. 6 weeks
2. 4 months
3. 6 months
4. 12 months.",0.548835933,0.182945311,0.651601687,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb1,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Is there aclinic for treatment of eating disorders in Holon?,There is no clinic for treatment of eating disorders in Holon,There is a clinic for the treatment of eating disorders in Holon.,0.961595786,0.653865262,0.808243467,"{'precision': 1.0, 'recall': 0.15625, 'f1': 0.27027}",1,0.15625,0.27027,
neutral,emb1,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,What is the quarterly cost to visit a specialist?,Visit to a specialist - 36₪ quarterly deductible,I'm unable to answer your question. The information provided does not mention the quarterly cost to visit a specialist.,0.876574377,0.625524792,0.675882118,"{'precision': 0.0, 'recall': 0.0, 'f1': 0}",0,0,0,
neutral,emb1,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,What is a “home visit”?,"Maccabi members are entitled to video medical advice -- a “home visit” by doctors and therapists via video, without having to go to the clinic.","A ""home visit"" is a medical consultation with a doctor or therapist via video, without having to go to the clinic.",0.831651709,0.277217236,0.761246037,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb1,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Can I come to a health institutions with a service animal?," In accordance with the Law on the Rights of Persons with Disabilities, there is an obligation on service providers in health institutions to allow a person with a disability to receive service while assisting a service animal. A service animal is any animal whose owner carries a certificate or marking attesting to being a “service animal”.",You can bring a service animal to a health institution.,0.885263096,0.628421032,0.76470564,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb1,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"I want to do clinical mammography, but I don't have any medical need. Where can I do it?","My Maccabi, gold and silver companies interested in examination without medical need - in Asuta salons only.","According to the information provided, someone without a medical need can get a clinical mammography done at Asuta salons.",0.784736101,0.428245367,0.744989587,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb1,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Where Psychodiagnostic diagnosis is provided?,At Maccabi Mental Health Clinics. ,The psychodiagnostic diagnosis is provided at Maccabi Mental Health Clinics.,0.880059359,0.626686453,0.798924128,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb1,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,How much Examination and treatment for vision focus cost?,"The price varies depending on the medical institution that performs the tests and treatments
 At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi - 72₪ deductible for evaluation tests, 55₪ deductible for each orthopedic treatment.
In a public hospital - Pledge with deduction of 72₪ deductible for evaluation tests and pledge with deduction of 55₪ deductible for each orthopedic treatment.
In remote areas for patients who do not have an agreement with Maccabi - 50% reimbursement of the rate of the Ministry of Health and offset of a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment.","The cost for examination and treatment for vision focus (orthopedics) varies depending on the medical institution that performs the tests and treatments. 

At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi, the cost is 72₪ deductible for evaluation tests and 55₪ deductible for each orthopedic treatment. 

In a public hospital, the cost is a pledge with a deduction of 72₪ deductible for evaluation tests and a pledge with a deduction of 55₪ deductible for each orthopedic treatment. 

In remote areas for patients who do not have an agreement with Maccabi, the cost is 50% reimbursement of the rate of the Ministry of Health and an offset of a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment.",0.927926249,0.55930875,0.866929695,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb1,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Does doctor's referral is necessary to do a test in order toidentify my blood type?,A doctor's referral is necessary.,A doctor's referral is necessary to identify one's blood type.,0.816075665,0.605358555,0.71568834,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb1,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Who is eligible to transportation for treatments and examinations for dialysis patients up to 18 years of age?,"Children and youth members of the Maccabi are dialysis patients who are not yet 18 years old, traveling for treatment in a hospital, at a dedicated dialysis institute for children. Eligibility for dialysis patients under the age of 18",Children and youth members of the Maccabi who are dialysis patients and are not yet 18 years old are eligible for transportation for treatments and examinations.,0.910109855,0.525592174,0.831604622,"{'precision': 0.8, 'recall': 1.0, 'f1': 0.88889}",0.8,1,0.88889,
neutral,emb1,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"Where can I vaccinate my baby for ""Pent-up""?","At milk drop stations of Maccabi
If your village does not have a Maccabi milk drop station, you can locate a nearby milk drop station on the website of the Ministry of Health. ","The recommended vaccination schedule for a baby is 4 doses of the pentavalent vaccine, administered at the following ages: 

1. 6 weeks
2. 4 months
3. 6 months
4. 12 months.",0.548835933,0.182945311,0.651601687,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb1,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Is there aclinic for treatment of eating disorders in Holon?,There is no clinic for treatment of eating disorders in Holon,There is a clinic for the treatment of eating disorders in Holon.,0.961595786,0.653865262,0.808243467,"{'precision': 1.0, 'recall': 0.15625, 'f1': 0.27027}",1,0.15625,0.27027,
neutral,emb1,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,What is the quarterly cost to visit a specialist?,Visit to a specialist - 36₪ quarterly deductible,I'm unable to answer your question. The information provided does not mention the quarterly cost to visit a specialist.,0.876574377,0.625524792,0.675882118,"{'precision': 0.0, 'recall': 0.0, 'f1': 0}",0,0,0,
neutral,emb1,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,What is a “home visit”?,"Maccabi members are entitled to video medical advice -- a “home visit” by doctors and therapists via video, without having to go to the clinic.","A ""home visit"" is a medical consultation with a doctor or therapist via video, without having to go to the clinic.",0.831651709,0.277217236,0.761246037,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb1,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Can I come to a health institutions with a service animal?," In accordance with the Law on the Rights of Persons with Disabilities, there is an obligation on service providers in health institutions to allow a person with a disability to receive service while assisting a service animal. A service animal is any animal whose owner carries a certificate or marking attesting to being a “service animal”.",You can bring a service animal to a health institution.,0.885263096,0.628421032,0.76470564,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb1,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"I want to do clinical mammography, but I don't have any medical need. Where can I do it?","My Maccabi, gold and silver companies interested in examination without medical need - in Asuta salons only.",A person without a medical need can get a clinical mammography done at Asuta salons.,0.793814428,0.431271476,0.744762622,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb1,approximate,mistralai/Mistral-7B-Instruct-v0.1,Where Psychodiagnostic diagnosis is provided?,At Maccabi Mental Health Clinics. , Psychodiagnostic diagnosis is provided at Maccabi Mental Health Clinics.,0.862276264,0.620758755,0.801105489,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb1,approximate,mistralai/Mistral-7B-Instruct-v0.1,How much Examination and treatment for vision focus cost?,"The price varies depending on the medical institution that performs the tests and treatments
 At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi - 72₪ deductible for evaluation tests, 55₪ deductible for each orthopedic treatment.
In a public hospital - Pledge with deduction of 72₪ deductible for evaluation tests and pledge with deduction of 55₪ deductible for each orthopedic treatment.
In remote areas for patients who do not have an agreement with Maccabi - 50% reimbursement of the rate of the Ministry of Health and offset of a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment."," The cost of examination and treatment for vision focus (orthopedics) varies depending on the medical institution that performs the tests and treatments. At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi, there is a 72₪ deductible for evaluation tests and 55₪ deductible for each orthopedic treatment. In a public hospital, there is a pledge with a deduction of 72₪ for evaluation tests and 55₪ for each orthopedic treatment. In remote areas for patients who do not have an agreement with Maccabi, there is 50% reimbursement of the rate of the Ministry of Health and offset of a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment. To receive a refund, you must submit an original tax receipt and invoice to the medical center (branch) by appointment or by registered mail.",0.933855454,0.561285151,0.884328968,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb1,approximate,mistralai/Mistral-7B-Instruct-v0.1,Does doctor's referral is necessary to do a test in order toidentify my blood type?,A doctor's referral is necessary.," Based on the information provided, a doctor's referral is necessary to perform a blood test to determine your blood type.",0.72969391,0.576564637,0.71052018,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb1,approximate,mistralai/Mistral-7B-Instruct-v0.1,Who is eligible to transportation for treatments and examinations for dialysis patients up to 18 years of age?,"Children and youth members of the Maccabi are dialysis patients who are not yet 18 years old, traveling for treatment in a hospital, at a dedicated dialysis institute for children. Eligibility for dialysis patients under the age of 18"," The eligibility criteria for transportation for treatments and examinations for dialysis patients up to 18 years of age are as follows:

* Children and youth members of the Maccabi are dialysis patients who are not yet 18 years old, traveling for treatment in a hospital, at a dedicated dialysis institute for children.
* Eligibility for dialysis patients under the age of 18 is for reimbursement for travel for dialysis treatments and travel for preparations and adjustments for dialysis treatments only.
* Financing the expenses of the trip from the friend's house to the hospital by transport in one of the following ways:
* Public transport: Reimbursement for travel in 2 directions, in the amount of transport fee according to the website of the Ministry of Transport. Full refund for travel in both directions, upon presentation of original receipt with counter reading. If a receipt or invoice is submitted without reading a counter - the calculation of the amount of the refund will be carried out up to the fare ceiling as determined by the Ministry of Transport.
* Taxi: Full refund for travel in both directions, upon presentation of original receipt with counter reading. If a receipt or invoice is submitted without reading a counter - the calculation of the amount of the refund will be carried out up to the fare ceiling as determined by the Ministry of Transport.
* Private car: Full return in 2 directions according to the following calculation: NUMBER OF TREATMENTS X PRICE PER LITER OF OCTANE FUEL 95 INCLUDING SERVICE CHARGE X NO. KM, THE AMOUNT MUST BE DIVIDED INTO 10. (The calculation is done automatically by the system).
* Ambulance: Full refund for travel in both directions, according to the MDA fare, or from the actual price of the ambulance ride, which is the lower one.

The service is provided in hospitals under the agreement, in designated institutes for the care of children.

For the refund, the following documents must be brought:

* Confirmation from the place of care, detailing the dates of treatments/examinations.
* For traveling by public transport: Reimbursement by “multi-line” - the refund will be calculated according to the cost of an individual trip X the number of days traveled for examination or treatment.
* To the companion: a refund of 50% of the cost of the trip in both directions, or a full refund of one way trip will be provided.
* For taxi ride: Original receipt/invoice for the trip with the meter reading indicated.
* For traveling by private car: No receipts needed.
* For an ambulance ride: You can apply for a pledge or refund. For a refund, a receipt/invoice for the payment must be forwarded to the Maccabi. Each eviction must submit a separate payment voucher (no refund will be given for one voucher detailing eviction in both directions). For a refund, the necessary documents must be delivered by registered mail, envelope to an appointment or contact the medical center. You can also apply for a refund on the Maccabi app (up to 5,000₪) or on the Maccabi Online website (up to 6,000₪).

It's worth noting that there are also other services available, such as outpatient services at home, which include visiting a doctor and visiting a nurse at least once a day, supply of medicines and required equipment, conducting blood tests and imaging tests 24/7, and a 24/7 call center transportation, if necessary, from home for treatments and examinations and return. The referral to a home hospital is generated by a doctor and is automatically forwarded to a home hospital coordinator team. The service representatives will contact you within 2 hours of receiving the referral from the doctor and the home hospital staff will come to you for an examination within 2-4 hours of receiving the referral.",0.821344707,0.496003791,0.962253478,"{'precision': 0.8, 'recall': 1.0, 'f1': 0.88889}",0.8,1,0.88889,
neutral,emb1,approximate,mistralai/Mistral-7B-Instruct-v0.1,"Where can I vaccinate my baby for ""Pent-up""?","At milk drop stations of Maccabi
If your village does not have a Maccabi milk drop station, you can locate a nearby milk drop station on the website of the Ministry of Health. "," Based on the information provided, there are several vaccination centers that provide the pentavalent vaccine for babies in their first year of life. These centers include milk drop stations of Maccabi, the Raught unitary Adult Clinic, the Steadfast Clinic for adults, children and youth, the Hadassah Ein Karam Clinic for adults, children and youth, the Haifa Bnei Zion Child and Adolescent Health Clinic, the Rambam Clinic for adults, children and youth, the Nahariya Galilee Medical Center Child and Family Guidance Unit, the Safed Ziv The Array for the Care of Children and Youth - Day Care, the Safed Ziv The Array for the Care of Children and Adolescents - Outpatient Department, and the Haifa settlement Haifa hospital Bnei Zion unitary Child and Adolescent Health Clinic.

To find the location of a specific vaccination center, you can use the phone numbers or addresses provided in the table. It is important to note that some centers may require an appointment to be made in advance with a milk drop nurse, and parents should wait 20 minutes after the administration of the vaccine. Additionally, parents should consult a milk drop nurse if they wish to split the vaccine into separate vaccines.",0.793311967,0.431103989,0.897603515,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb1,approximate,mistralai/Mistral-7B-Instruct-v0.1,Is there aclinic for treatment of eating disorders in Holon?,There is no clinic for treatment of eating disorders in Holon," Based on the information provided, there are several clinics in the Haifa area that specialize in treating eating disorders. These clinics are under the agreement with Maccabi, Northern District settlement hospital unitary address telephone Haifa Bnei Zion Child and Adolescent Health Clinic Montefiore 19A 04-8359970 Haifa Bnei Zion Children's Day Care B Montefiore 19A 04-8359971 Haifa Bnei Zion Outpatient Department for Children and Youth Montefiore 19A 04-8359972 Haifa Rambam Clinic for adults, children and youth The Second Ascension 8 04-7773143 Haifa Rambam Day care for adults, children and youth The Second Ascension 8 04-7773144 Nahariya Galilee Medical Center Child and Family Guidance Unit On Route 89 04-9107107 Safed Ziv The Array for the Care of Children and Youth - Day Care Rambam Road 04-6828475 Safed Ziv The Array for the Care of Children and Adolescents - Outpatient Department Rambam Road 04-6828183 Safed Ziv Child and Youth Health Clinic Rambam Road 04-6828086 Haifa settlement Haifa hospital Bnei Zion unitary Child and Adolescent Health Clinic address Montefiore 19A telephone 04-8359970 Haifa settlement Haifa hospital Bnei Zion unitary Children's Day Care B address Montefiore 19A telephone 04-8359971 Haifa settlement Haifa hospital Bnei Zion unitary Outpatient Department for Children and Youth address Montefiore 19A telephone 04-8359972 Haifa settlement Haifa hospital Rambam

The cost of treatment for eating disorders is no deductible. If the treatment includes treatment with a dietitian or doctor, a quarterly deductible of NIS 30.50 will be charged. The service is provided in clinics of Maccabi for eating disorders or in clinics under the agreement with Maccabi, Northern District settlement hospital unitary address telephone Haifa Bnei Zion Child and Adolescent Health Clinic Montefiore 19A 04-8359970 Haifa Bnei Zion Children's Day Care B Montefiore 19A 04-8359971 Haifa Bnei Zion Outpatient Department for Children and Youth Montefiore 19A 04-8359972 Haifa Rambam Clinic for adults, children and youth The Second Ascension 8 04-7773143 Haifa Rambam Day care for adults, children and youth The Second Ascension 8 04-7773144 Nahariya Galilee Medical Center Child and Family Guidance Unit On Route 89 04-9107107 Safed Ziv The Array for the Care of Children and Youth - Day Care Rambam Road 04-6828475 Safed Ziv The Array for the Care of Children and Adolescents - Outpatient Department Rambam Road 04-6828183 Safed Ziv Child and Youth Health Clinic Rambam Road 04-6828086 Haifa settlement Haifa hospital Bnei Zion unitary Child and Adolescent Health Clinic address Montefiore 19A telephone 04-8359970 Haifa settlement Haifa hospital Bnei Zion unitary Children's Day Care B address Montefiore 19A telephone 04-8359971 Haifa settlement Haifa hospital Bnei Zion unitary Outpatient Department for Children and Youth address Montefiore 19A telephone 04-8359972 Haifa settlement Haifa hospital Rambam",0.817588339,0.272529446,0.957749128,"{'precision': 1.0, 'recall': 0.15625, 'f1': 0.27027}",1,0.15625,0.27027,
